SampleID,Site,salinity,nutrients,Treatment
EV_HS_P1_T0,EV,High,Ambient,HSAN
EV_HS_P1_T2,EV,High,Ambient,HSAN
EV_HS_P2_T0,EV,High,Ambient,HSAN
EV_HS_P2_T2,EV,High,Ambient,HSAN
EV_HS_P3_T0,EV,High,Ambient,HSAN
EV_HS_P3_T2,EV,High,Ambient,HSAN
EV_HS_P4_T0,EV,High,Ambient,HSAN
EV_HS_P4_T2,EV,High,Ambient,HSAN
EV_HSHN_P1_T0,EV,High,High,HSEN
EV_HSHN_P1_T2,EV,High,High,HSEN
EV_HSHN_P2_T0,EV,High,High,HSEN
EV_HSHN_P3_T0,EV,High,High,HSEN
EV_HSHN_P3_T2,EV,High,High,HSEN
EV_HSHN_P4_T0,EV,High,High,HSEN
EV_HSHN_P4_T2,EV,High,High,HSEN
EV_LS_P1_T0,EV,Ambient,Ambient,ASAN
EV_LS_P1_T2,EV,Ambient,Ambient,ASAN
EV_LS_P2_T0,EV,Ambient,Ambient,ASAN
EV_LS_P2_T2,EV,Ambient,Ambient,ASAN
EV_LS_P3_T0,EV,Ambient,Ambient,ASAN
EV_LS_P3_T2,EV,Ambient,Ambient,ASAN
EV_LS_P4_T0,EV,Ambient,Ambient,ASAN
EV_LS_P4_T2,EV,Ambient,Ambient,ASAN
EV_LSHN_P1_T0,EV,Ambient,High,ASEN
EV_LSHN_P1_T2,EV,Ambient,High,ASEN
EV_LSHN_P2_T0,EV,Ambient,High,ASEN
EV_LSHN_P2_T2,EV,Ambient,High,ASEN
EV_LSHN_P3_T0,EV,Ambient,High,ASEN
EV_LSHN_P4_T0,EV,Ambient,High,ASEN
EV_LSHN_P4_T2,EV,Ambient,High,ASEN
EV_MS_P1_T0,EV,Low,Ambient,MSAN
EV_MS_P1_T2,EV,Low,Ambient,MSAN
EV_MS_P2_T2,EV,Low,Ambient,MSAN
EV_MS_P3_T0,EV,Low,Ambient,MSAN
EV_MS_P3_T2,EV,Low,Ambient,MSAN
EV_MS_P4_T0,EV,Low,Ambient,MSAN
EV_MS_P4_T2,EV,Low,Ambient,MSAN
EV_MSHN_P1_T0,EV,Low,High,MSEN
EV_MSHN_P1_T2,EV,Low,High,MSEN
EV_MSHN_P2_T0,EV,Low,High,MSEN
EV_MSHN_P2_T2,EV,Low,High,MSEN
EV_MSHN_P3_T0,EV,Low,High,MSEN
EV_MSHN_P3_T2,EV,Low,High,MSEN
EV_MSHN_P4_T0,EV,Low,High,MSEN
