SampleID;chlorophyll_a;pH;initial_conductivity;conductivity;oxygen;nitrites;phosphates;;site;salinity;nutrients;treatment
1;31,16;9,75;1,433;1,952;0,87;0,025;6,5;;Evora;Ambient;Ambient;ASAN
2;23,23;9,19;0,687;1,004;3,59;0,025;8,6;;Evora;Ambient;Ambient;ASAN
3;114,1;8,72;1,367;1,821;0,52;0,025;9;;Evora;Ambient;Ambient;ASAN
4;55,7;9,13;0,947;1,18;0,67;0,025;3,1;;Evora;Ambient;Ambient;ASAN
5;46,18;10,11;1,202;1,653;9,09;0,025;2,6;;Evora;Ambient;Ambient;ASAN
6;211,3;10,07;5,74;38,5;21,38;0,025;0,63;;Evora;High;High;HSEN
7;501,8;10,47;34,5;45,9;13,48;0,025;4,87;;Evora;High;High;HSEN
8;122;9,15;37,8;43,2;2,88;0,025;6,8;;Evora;High;High;HSEN
9;465,2;9,85;32,2;47,7;16,19;0,025;7,2;;Evora;High;High;HSEN
10;69,69;9,62;20,83;35,8;12,79;0,025;0,8;;Evora;High;Ambient;HSAN
11;949,9;10,8;0,02;24,6;15,73;0,025;6,23;;Evora;High;Ambient;HSAN
12;106,8;10,02;28;46,3;15,93;0,025;12;;Evora;High;Ambient;HSAN
13;225,8;10;27,8;41,9;18,49;0,025;5,9;;Evora;High;Ambient;HSAN
14;68,48;9,58;0,732;0,854;1,66;0,025;0,67;;Evora;Ambient;High;ASEN
15;230,6;9,33;1,37;1,788;0,82;0,025;13,7;;Evora;Ambient;High;ASEN
16;36,26;9,92;0,684;1,027;0,7;0,025;7,6;;Evora;Ambient;High;ASEN
17;19,89;9,36;0,653;0,855;1,13;0,025;1,6;;Evora;Ambient;High;ASEN
18;51,29;9,24;3,46;13,48;0,9;0,025;8,4;;Evora;Low;High;MSEN
19;92,31;9,04;2,98;12,38;4,66;0,025;2,4;;Evora;Low;High;MSEN
20;142,5;10,26;4,94;14;15,31;0,025;6,5;;Evora;Low;High;MSEN
21;322,6;9,97;8,46;12,55;5,65;0,025;6,5;;Evora;Low;High;MSEN
22;25,39;9;10,1;10,1;3,01;0,025;2,8;;Evora;Low;Ambient;MSAN
23;26,82;9,8;13,23;13,23;1,33;0,025;8,6;;Evora;Low;Ambient;MSAN
24;253,3;10,21;12,95;12,95;21,92;0,025;1,5;;Evora;Low;Ambient;MSAN
25;89,2;9,23;11,31;14,41;12,89;0,025;0,53;;Evora;Low;Ambient;MSAN
26;3,883;8,24;0,401;0,356;8,26;0,025;0,05;;Jaca;Ambient;Ambient;ASAN
27;5,58;8,24;0,508;0,493;8,5;0,025;0,05;;Jaca;Ambient;Ambient;ASAN
28;2,666;8,21;0,493;0,417;6,28;0,025;0,05;;Jaca;Ambient;Ambient;ASAN
29;2,291;9,91;0,1615;0,149;12,46;0,025;0,05;;Jaca;Ambient;Ambient;ASAN
30;33,85;8,32;46,6;40,8;13,97;0,025;2,5;;Jaca;High;High;HSEN
31;19,25;8,38;24,7;18,98;10,43;0,025;0,09;;Jaca;High;High;HSEN
32;5,269;8,43;0,416;0,347;8,94;0,025;0,05;;Jaca;High;High;HSEN
33;46,45;8,8;24,4;17,41;11,46;0,025;0,05;;Jaca;High;High;HSEN
34;5,526;7,87;39,5;31,6;7,21;0,031;0,05;;Jaca;High;Ambient;HSAN
35;5,17;9,88;0,231;0,236;11,63;0,025;0,76;;Jaca;High;Ambient;HSAN
36;1,504;8,63;0,471;0,302;9,85;0,025;0,05;;Jaca;High;Ambient;HSAN
37;2,45;8,19;24,3;23,4;9,65;0,025;0,05;;Jaca;High;Ambient;HSAN
38;10,08;8,78;0,504;0,423;11,04;0,025;0,05;;Jaca;Ambient;High;ASEN
39;9,099;9,01;0,3;0,245;9,41;0,025;0,05;;Jaca;Ambient;High;ASEN
40;0,313;8,65;0,494;0,264;10,73;0,025;0,05;;Jaca;Ambient;High;ASEN
41;1,568;9,71;0,373;0,1542;13,15;0,025;0,05;;Jaca;Ambient;High;ASEN
42;6,868;8,48;8,89;8,39;10,26;0,025;0,05;;Jaca;Low;High;MSEN
43;7,288;8,77;6,93;7,77;11,26;0,025;0,05;;Jaca;Low;High;MSEN
44;13,7;9,14;6,75;8,28;11,33;0,025;0,16;;Jaca;Low;High;MSEN
45;3,939;8,97;7,37;8,2;11,14;0,025;0,05;;Jaca;Low;High;MSEN
46;14,35;7,97;9,98;8,52;8,75;0,025;0,05;;Jaca;Low;Ambient;MSAN
47;4,83;8,78;9,16;8,2;10,62;0,025;0,05;;Jaca;Low;Ambient;MSAN
48;3,618;8,51;6,15;6,41;11,01;0,025;0,05;;Jaca;Low;Ambient;MSAN
49;2,987;8,58;7,33;8,9;10,06;0,025;0,05;;Jaca;Low;Ambient;MSAN
50;15,31;6,7;0,0444;0,0478;12,99;0,025;0,05;;Porto;Ambient;Ambient;ASAN
51;10,66;7,08;0,0788;0,1772;9,98;0,025;0,05;;Porto;Ambient;Ambient;ASAN
52;20,125;7,09;0,0629;0,1616;13,85;0,025;0,05;;Porto;Ambient;Ambient;ASAN
53;38180;6,32;0,0433;0,0695;10,35;0,025;0,05;;Porto;Ambient;Ambient;ASAN
54;4,551;4,2;29,3;32,2;11,13;0,025;0,05;;Porto;High;High;HSEN
55;63,72;5,76;13,74;30;13,1;0,025;0,05;;Porto;High;High;HSEN
56;25,92;6,29;29,1;25,2;3,33;0,025;0,05;;Porto;High;High;HSEN
57;24,8;5,45;28,8;31,3;5,7;0,025;0,05;;Porto;High;High;HSEN
58;4,106;4,39;26;30;6,67;0,025;0,05;;Porto;High;Ambient;HSAN
59;74,97;6,25;23,9;30,5;13,86;0,025;1,2;;Porto;High;Ambient;HSAN
60;87,15;6,23;26,8;35;13,37;0,025;0,05;;Porto;High;Ambient;HSAN
61;12,67;3,71;23,2;31,1;11,06;0,025;0,05;;Porto;High;Ambient;HSAN
62;27,06;6,39;0,054;0,0434;6,65;0,025;0,05;;Porto;Ambient;High;ASEN
63;48,28;6,71;0,051;0,042;13,92;0,025;0,05;;Porto;Ambient;High;ASEN
64;89,19;6,78;0,0746;0,1008;9,59;0,025;0,05;;Porto;Ambient;High;ASEN
65;14,55;6,36;0,0597;0,0695;14,93;0,025;0,05;;Porto;Ambient;High;ASEN
66;1,834;6,98;11,78;12,61;10,05;0,025;0,05;;Porto;Low;High;MSEN
67;7,943;5,82;0,00976;10,51;10,16;0,025;0,05;;Porto;Low;High;MSEN
68;7,269;5,37;11,36;11,97;12,1;0,025;0,05;;Porto;Low;High;MSEN
69;5,891;5,78;8,1;11,48;11,35;0,025;0,05;;Porto;Low;High;MSEN
70;6,726;7,08;6,19;10,48;8,13;0,025;0,05;;Porto;Low;Ambient;MSAN
71;0,124;5,29;8,92;12,04;12,48;0,025;0,05;;Porto;Low;Ambient;MSAN
72;1,014;4,58;8,77;11,3;7,26;0,025;0,05;;Porto;Low;Ambient;MSAN
