SampleID,site,salinity,nutrients
1,Evora,Ambient,Ambient
2,Evora,Ambient,Ambient
3,Evora,Ambient,Ambient
4,Evora,Ambient,Ambient
5,Evora,Ambient,Ambient
6,Evora,High,High
7,Evora,High,High
8,Evora,High,High
9,Evora,High,High
10,Evora,High,Ambient
11,Evora,High,Ambient
12,Evora,High,Ambient
13,Evora,High,Ambient
14,Evora,Ambient,High
15,Evora,Ambient,High
16,Evora,Ambient,High
17,Evora,Ambient,High
18,Evora,Low,High
19,Evora,Low,High
20,Evora,Low,High
21,Evora,Low,High
22,Evora,Low,Ambient
23,Evora,Low,Ambient
24,Evora,Low,Ambient
25,Evora,Low,Ambient
26,Jaca,Ambient,Ambient
27,Jaca,Ambient,Ambient
28,Jaca,Ambient,Ambient
29,Jaca,Ambient,Ambient
30,Jaca,High,High
31,Jaca,High,High
32,Jaca,High,High
33,Jaca,High,High
34,Jaca,High,Ambient
35,Jaca,High,Ambient
36,Jaca,High,Ambient
37,Jaca,High,Ambient
38,Jaca,Ambient,High
39,Jaca,Ambient,High
40,Jaca,Ambient,High
41,Jaca,Ambient,High
42,Jaca,Low,High
43,Jaca,Low,High
44,Jaca,Low,High
45,Jaca,Low,High
46,Jaca,Low,Ambient
47,Jaca,Low,Ambient
48,Jaca,Low,Ambient
49,Jaca,Low,Ambient
50,Porto,Ambient,Ambient
51,Porto,Ambient,Ambient
52,Porto,Ambient,Ambient
53,Porto,Ambient,Ambient
54,Porto,High,High
55,Porto,High,High
56,Porto,High,High
57,Porto,High,High
58,Porto,High,Ambient
59,Porto,High,Ambient
60,Porto,High,Ambient
61,Porto,High,Ambient
62,Porto,Ambient,High
63,Porto,Ambient,High
64,Porto,Ambient,High
65,Porto,Ambient,High
66,Porto,Low,High
67,Porto,Low,High
68,Porto,Low,High
69,Porto,Low,High
70,Porto,Low,Ambient
71,Porto,Low,Ambient
72,Porto,Low,Ambient
73,Porto,Low,Ambient
