site;treatments;salinity;nutrients;sample_code1;sample_code2;diptera;oligochaeta;nematoda;coleoptera;hemiptera;odonata;ephemeroptera;gastropoda;collembola;lepidoptera;aranae
Evora;Control salinity / Control nutrients;amb_sal;amb_nut;EA;E_CSCN;17;0;0;1;5;5;3;0;0;0;0
Evora;Control salinity / Control nutrients;amb_sal;amb_nut;EB;E_CSCN;99;0;0;1;129;10;5;0;0;0;0
Evora;Control salinity / Control nutrients;amb_sal;amb_nut;EC;E_CSCN;13;0;0;1;0;0;0;4;0;0;1
Evora;Control salinity / Control nutrients;amb_sal;amb_nut;ED;E_CSCN;4;0;0;3;2;4;0;0;0;0;0
Evora;Control salinity / Control nutrients;amb_sal;amb_nut;EF;E_CSCN;721;0;0;2;53;0;1;0;0;0;0
Evora;High salinity / High nutrients;high_sal;high_nut;EG;E_HSHN;146;0;0;2;0;0;0;0;0;0;0
Evora;High salinity / High nutrients;high_sal;high_nut;EH;E_HSHN;151;0;0;1;0;0;0;0;0;0;0
Evora;High salinity / High nutrients;high_sal;high_nut;EI;E_HSHN;13;0;0;1;11;0;0;0;0;0;0
Evora;High salinity / High nutrients;high_sal;high_nut;EJ;E_HSHN;79;0;0;1;5;0;0;0;0;0;0
Evora;High salinity / Control nutrients;high_sal;amb_nut;EK;E_HSCN;25;0;0;1;2;0;0;1;0;0;0
Evora;High salinity / Control nutrients;high_sal;amb_nut;EL;E_HSCN;195;0;0;0;3;0;0;8;0;0;0
Evora;High salinity / Control nutrients;high_sal;amb_nut;EM;E_HSCN;50;0;0;0;1;0;0;0;0;0;0
Evora;High salinity / Control nutrients;high_sal;amb_nut;EN;E_HSCN;79;0;0;0;15;0;0;0;0;0;0
Evora;Control salinity / High nutrients;amb_sal;high_nut;EO;E_CSHN;0;0;0;1;471;1;0;2;0;0;0
Evora;Control salinity / High nutrients;amb_sal;high_nut;EP;E_CSHN;1;0;0;1;207;1;0;3;0;0;0
Evora;Control salinity / High nutrients;amb_sal;high_nut;EQ;E_CSHN;7;0;0;1;5;6;0;0;0;0;0
Evora;Control salinity / High nutrients;amb_sal;high_nut;ER;E_CSHN;6;0;0;0;1;15;11;0;0;0;0
Evora;Low salinity / High nutrientes;low_salinity;high_nut;ES;E_LSHN;56;0;0;3;2;0;4;0;0;0;0
Evora;Low salinity / High nutrientes;low_salinity;high_nut;ET;E_LSHN;93;0;0;3;20;1;5;0;0;0;0
Evora;Low salinity / High nutrientes;low_salinity;high_nut;EU;E_LSHN;106;0;0;2;3;4;1;1;1;0;0
Evora;Low salinity / High nutrientes;low_salinity;high_nut;EV;E_LSHN;157;0;0;2;5;0;12;2;0;0;0
Evora;Low salinity / Control nutrientes;low_salinity;amb_nut;EW;E_LSCN;29;0;0;3;17;1;9;0;0;0;0
Evora;Low salinity / Control nutrientes;low_salinity;amb_nut;EX;E_LSCN;299;0;0;6;2;0;2;0;0;0;0
Evora;Low salinity / Control nutrientes;low_salinity;amb_nut;EY;E_LSCN;84;0;0;3;14;2;0;0;0;0;0
Evora;Low salinity / Control nutrientes;low_salinity;amb_nut;EZ;E_LSCN;249;0;0;1;1;0;0;0;0;0;0
Jaca;Control salinity / Control nutrients;amb_sal;amb_nut;JA;J_CSCN;3;0;0;1;0;0;0;0;0;0;0
Jaca;Control salinity / Control nutrients;amb_sal;amb_nut;JB;J_CSCN;57;7;0;0;3;8;0;0;0;0;0
Jaca;Control salinity / Control nutrients;amb_sal;amb_nut;JC;J_CSCN;20;196;0;3;0;19;0;0;0;0;0
Jaca;Control salinity / Control nutrients;amb_sal;amb_nut;JD;J_CSCN;140;4;0;0;1;117;65;0;0;0;0
Jaca;High salinity / High nutrients;high_sal;high_nut;JF;J_HSHN;185;0;0;1;1;0;0;0;0;0;0
Jaca;High salinity / High nutrients;high_sal;high_nut;JG;J_HSHN;289;0;0;0;0;0;0;0;0;0;0
Jaca;High salinity / High nutrients;high_sal;high_nut;JH;J_HSHN;175;0;0;2;4;1;0;0;0;0;0
Jaca;High salinity / High nutrients;high_sal;high_nut;JI;J_HSHN;79;0;0;1;0;0;0;0;0;0;0
Jaca;High salinity / control nutrients;high_sal;amb_nut;JJ;J_HSCN;199;0;0;0;1;0;0;0;0;0;0
Jaca;High salinity / control nutrients;high_sal;amb_nut;JK;J_HSCN;75;0;2;2;3;73;30;0;0;0;0
Jaca;High salinity / control nutrients;high_sal;amb_nut;JL;J_HSCN;27;52;3;5;3;8;0;0;0;0;0
Jaca;High salinity / control nutrients;high_sal;amb_nut;JM;J_HSCN;165;1;0;0;0;0;0;0;0;0;0
