Site,Pond_Number,Treatment,Pond,Sample_Point,Conductivity ,Chlorophyll_a,pH,"Oxygen
",Nitrite,Nitrate,PhospJAte
JA,JA11,HS,JA_HS_P1,T0,31.6,5.526,7.87,7.21,0.031,0,0
JA,JA17,HS,JA_HS_P2,T0,21.7,14.12,8.01,8.76,0,0.157,0
JA,JA22,HS,JA_HS_P3,T0,24,4.23,8,8.23,0,0,0
JA,JA31,HS,JA_HS_P4,T0,23.4,2.45,8.19,9.65,0,0,0
PO,PO11,HS,PO_HS_P1,T0,30,4.106,4.39,6.67,0,0,0
PO,PO16,HS,PO_HS_P2,T0,30.5,74.97,6.25,13.86,0,0,1.2
PO,PO23,HS,PO_HS_P3,T0,35,87.15,6.23,13.37,0,0.497,0
PO,PO31,HS,PO_HS_P4,T0,31.1,12.67,3.71,11.06,0,0,0
EV,EV12,HS,EV_HS_P1,T0,35.8,69.69,9.62,12.79,0,0.039,0.8
EV,EV17,HS,EV_HS_P2,T0,24.6,94.9,10.8,0,0,0.161,6.5
EV,EV22,HS,EV_HS_P3,T0,46.3,106.8,10.02,15.93,0,0.357,12
EV,EV30,HS,EV_HS_P4,T0,41.9,225.8,10,18.49,0,0.072,5.9
JA,JA11,HS,JA_HS_P1,T2,35.1,108.21,7.82,9.61,,,
JA,JA17,HS,JA_HS_P2,T2,22.4,64.51,7.78,6.49,,,
JA,JA22,HS,JA_HS_P3,T2,24.8,41.615,7.83,7.41,,,
JA,JA31,HS,JA_HS_P4,T2,24.3,16.35,7.93,10.73,,,
PO,PO11,HS,PO_HS_P1,T2,42.6,4.378,4.21,5.78,,,
PO,PO16,HS,PO_HS_P2,T2,48.7,21.75,4.44,0,,,
PO,PO23,HS,PO_HS_P3,T2,50.7,16.92,5.95,2.08,,,
PO,PO31,HS,PO_HS_P4,T2,49.4,15.4,3.73,4.89,,,
EV,EV12,HS,EV_HS_P1,T2,76.6,97.12,8.11,2.69,,,
EV,EV17,HS,EV_HS_P2,T2,61.8,196.4,8.5,0.18,,,
EV,EV22,HS,EV_HS_P3,T2,166.9,135.7,7.85,0.21,,,
EV,EV30,HS,EV_HS_P4,T2,124.2,49.54,7.76,0,,,
